category,name,tags,price,discount,imageUrl
Action,Destroy All Humans!,"Action, Adventure, Aliens, Villain Protagonist",S$40.50,,https://steamcdn-a.akamaihd.net/steam/apps/803330/capsule_184x69.jpg?t=1595961051
Action,Grounded,"Adventure, Action, Survival, Crafting",S$39.90,,https://steamcdn-a.akamaihd.net/steam/apps/962130/capsule_184x69.jpg?t=1595989543
Action,Blightbound,"RPG, Action, Adventure, Indie",S$16.65,-10%,https://steamcdn-a.akamaihd.net/steam/apps/1263070/capsule_184x69.jpg?t=1596129875
Action,Hellpoint,"Action, RPG, Souls-like, Sci-fi",S$29.00,,https://steamcdn-a.akamaihd.net/steam/apps/628670/capsule_184x69.jpg?t=1596228584
Action,Skater XL - The Ultimate Skateboarding Game,"Skateboarding, Sports, Simulation, Indie",S$34.00,,https://steamcdn-a.akamaihd.net/steam/apps/962730/capsule_184x69.jpg?t=1595948838
Action,CARRION,"Action, Indie, Adventure, Villain Protagonist",S$18.50,,https://steamcdn-a.akamaihd.net/steam/apps/953490/capsule_184x69.jpg?t=1595510443
Action,FAIRY TAIL,"RPG, Anime, Fantasy, JRPG",S$92.80,,https://steamcdn-a.akamaihd.net/steam/apps/1233260/capsule_184x69.jpg?t=1596071727
Action,SWORD ART ONLINE Alicization Lycoris,"RPG, Action, Adventure, Anime",S$74.90,,https://steamcdn-a.akamaihd.net/steam/apps/1009290/capsule_184x69.jpg?t=1594333057
Action,Fight Crab,"Sports, Indie, Action, Fighting",S$16.65,-10%,https://steamcdn-a.akamaihd.net/steam/apps/1213750/capsule_184x69.jpg?t=1596034570
Action,STAR WARS™: The Old Republic™,"Free to Play, Star Wars, MMORPG, Massively Multiplayer",Free To Play,,https://steamcdn-a.akamaihd.net/steam/apps/1286830/capsule_184x69.jpg?t=1596208979
Action,Sea of Thieves,"Adventure, Action, Open World, Multiplayer",S$49.50,,https://steamcdn-a.akamaihd.net/steam/apps/1172620/capsule_184x69.jpg?t=1596057038
Action,DUAL GEAR,"Strategy, Simulation, Mechs, Action",S$16.00,-20%,https://steamcdn-a.akamaihd.net/steam/apps/443000/capsule_184x69.jpg?t=1595986294
Action,Neon Abyss,"Shooter, Platformer, Roguelike, Loot",S$23.00,,https://steamcdn-a.akamaihd.net/steam/apps/788100/capsule_184x69.jpg?t=1595516568
Action,Titanfall® 2,"Masterpiece, FPS, Multiplayer, Action",S$39.90,,https://steamcdn-a.akamaihd.net/steam/apps/1237970/capsule_184x69.jpg?t=1593732268
Action,Rocket Arena,"Hero Shooter, Arena Shooter, Action, Third-Person Shooter",S$39.90,,https://steamcdn-a.akamaihd.net/steam/apps/1233550/capsule_184x69_alt_assets_0.jpg?t=1596144915
Action,Cyber Hunter,"Free to Play, Action, Massively Multiplayer, Battle Royale",Free To Play,,https://steamcdn-a.akamaihd.net/steam/apps/1209040/capsule_184x69.jpg?t=1595840009
Action,Gunfire Reborn,"FPS, Roguelite, Co-op, Indie",S$12.00,,https://steamcdn-a.akamaihd.net/steam/apps/1217060/capsule_184x69.jpg?t=1594625582
Action,Torchlight III,"RPG, Adventure, Action, Hack and Slash",S$26.00,,https://steamcdn-a.akamaihd.net/steam/apps/1030210/capsule_184x69.jpg?t=1592516212
Action,Deep Rock Galactic,"Co-op, Class-Based, Multiplayer, FPS",S$26.00,,https://steamcdn-a.akamaihd.net/steam/apps/548430/capsule_184x69.jpg?t=1596100942
Action,Need for Speed™ Heat,"Racing, Action, Adventure, Driving",S$94.90,,https://steamcdn-a.akamaihd.net/steam/apps/1222680/capsule_184x69.jpg?t=1595694057
Action,Crysis® 3,"Action, Adventure, Shooter, Multiplayer",S$39.90,,https://steamcdn-a.akamaihd.net/steam/apps/1282690/capsule_184x69.jpg?t=1595695201
Action,BattleGroupVR,"Action, Strategy, Early Access, VR",S$22.00,,https://steamcdn-a.akamaihd.net/steam/apps/1178780/capsule_184x69.jpg?t=1596196619
Action,King of Crabs,"Beat 'em up, 3D Fighter, Casual, PvP",Free To Play,,https://steamcdn-a.akamaihd.net/steam/apps/1273710/capsule_184x69.jpg?t=1594326687
Action,DragonRide VR,"Action, Adventure, VR, Dragons",S$6.60,-40%,https://steamcdn-a.akamaihd.net/steam/apps/1197620/capsule_184x69.jpg?t=1596322608
Action,Rage of Car Force: Car Crashing Games,"Racing, Casual, Action, Automobile Sim",Free To Play,,https://steamcdn-a.akamaihd.net/steam/apps/616700/capsule_184x69.jpg?t=1596096418
Action,Maid of Sker,"Adventure, Action, Indie, Violent",S$19.80,-10%,https://steamcdn-a.akamaihd.net/steam/apps/826940/capsule_184x69.jpg?t=1596027386
Action,Battlefield ™ V,"FPS, World War II, Shooter, Atmospheric",S$79.90,,https://steamcdn-a.akamaihd.net/steam/apps/1238810/capsule_184x69.jpg?t=1596038104
Action,Little Witch Nobeta,"Cute, Funny, Action, Souls-like",S$10.00,,https://steamcdn-a.akamaihd.net/steam/apps/1049890/capsule_184x69.jpg?t=1594863718
Action,Quantum League,"Action, Strategy, Shooter, First-Person",S$11.25,-50%,https://steamcdn-a.akamaihd.net/steam/apps/651150/capsule_184x69.jpg?t=1596204782
Action,Karnage Chronicles,"VR, RPG, Adventure, Action",S$22.50,-10%,https://steamcdn-a.akamaihd.net/steam/apps/611160/capsule_184x69.jpg?t=1596204569
